id,width,length,height,weight,descripcion
1,33.0,25.0,4.5,1.5,FUNDA NORDICA ALGODON 150 MARTINA
2,33.0,25.0,4.5,1.5,FUNDA NORDICA ALGODON 150 MARTINA
3,32.0,6.0,32.0,0.75,RELOJ DE PARED GAIA BLANCO Y NEGRO 20 CM
4,38.0,34.0,11.0,1.0,COLCHA POLIESTER CORINTO 90 VERDE
5,38.0,22.0,27.0,3.5,CENTRO PLANCHADO TAURUS SLIDING PERFECT 2800 LIMITADO AZUL B
6,32.0,16.0,32.0,3.0,CAFETERA DE CÁPSULAS DOLCE GUSTO KRUPS KP2431 GENIO BLANCA
7,12.0,10.0,21.0,0.5,LAMPARA SOBREMESA SOFT NORMAL E14 1 LUZ 6W 12X12X22 CM
8,38.0,22.0,27.0,3.5,CENTRO PLANCHADO TAURUS SLIDING PERFECT 2800 LIMITADO AZUL B
9,38.0,34.0,11.0,1.0,COLCHA POLIESTER CORINTO 90 VERDE
10,42.0,20.0,38.0,5.0,CAFETERA EXPRESS TAURUS EUFORIA 1450W 20BAR
11,42.0,20.0,38.0,5.0,CAFETERA EXPRESS TAURUS EUFORIA 1450W 20BAR
12,38.0,34.0,11.0,1.0,COLCHA POLIESTER CORINTO 90 VERDE
13,32.0,16.0,32.0,3.0,CAFETERA DE CÁPSULAS DOLCE GUSTO KRUPS KP2431 GENIO BLANCA
14,16.0,8.0,26.0,0.7,CUBERTERIA SILVER BLACK 16 PIEZAS
15,42.0,20.0,38.0,5.0,CAFETERA EXPRESS TAURUS EUFORIA 1450W 20BAR
16,33.0,25.0,4.5,1.5,FUNDA NORDICA ALGODON 150 MARTINA
17,32.0,16.0,32.0,3.0,CAFETERA DE CÁPSULAS DOLCE GUSTO KRUPS KP2431 GENIO BLANCA
18,32.0,6.0,32.0,0.75,RELOJ DE PARED GAIA BLANCO Y NEGRO 20 CM
19,42.0,20.0,38.0,5.0,CAFETERA EXPRESS TAURUS EUFORIA 1450W 20BAR
20,23.0,17.0,6.5,0.3,2/2-MOOD PIE MESA BLANCO
21,38.0,26.0,4.0,0.5,VISILLO 140X250 SELENA GRIS
22,7.0,7.0,27.0,0.16,PLANTA ARTIFICIAL LIMONERO 27CM
23,23.0,17.0,6.5,0.3,2/2-MOOD PIE MESA BLANCO
24,32.0,16.0,32.0,3.0,CAFETERA DE CÁPSULAS DOLCE GUSTO KRUPS KP2431 GENIO BLANCA
25,26.0,22.0,43.0,1.5,EDREDON POLIESTER 150 PRAGA
26,32.0,16.0,32.0,3.0,CAFETERA DE CÁPSULAS DOLCE GUSTO KRUPS KP2431 GENIO BLANCA
27,26.0,22.0,43.0,1.5,EDREDON POLIESTER 150 PRAGA
28,38.0,26.0,4.0,0.5,VISILLO 140X250 SELENA GRIS
29,26.0,22.0,43.0,1.5,EDREDON POLIESTER 150 PRAGA
30,23.0,17.0,6.5,0.3,2/2-MOOD PIE MESA BLANCO
31,38.0,34.0,11.0,1.0,COLCHA POLIESTER CORINTO 90 VERDE
32,33.0,25.0,4.5,1.5,FUNDA NORDICA ALGODON 150 MARTINA
33,16.0,8.0,26.0,0.7,CUBERTERIA SILVER BLACK 16 PIEZAS
34,16.0,8.0,26.0,0.7,CUBERTERIA SILVER BLACK 16 PIEZAS
35,42.0,20.0,38.0,5.0,CAFETERA EXPRESS TAURUS EUFORIA 1450W 20BAR
36,33.0,25.0,4.5,1.5,FUNDA NORDICA ALGODON 150 MARTINA
37,26.0,22.0,43.0,1.5,EDREDON POLIESTER 150 PRAGA
38,32.0,16.0,32.0,3.0,CAFETERA DE CÁPSULAS DOLCE GUSTO KRUPS KP2431 GENIO BLANCA
39,26.0,22.0,43.0,1.5,EDREDON POLIESTER 150 PRAGA
40,38.0,34.0,11.0,1.0,COLCHA POLIESTER CORINTO 90 VERDE
41,23.0,17.0,6.5,0.3,2/2-MOOD PIE MESA BLANCO
42,7.0,7.0,27.0,0.16,PLANTA ARTIFICIAL LIMONERO 27CM
43,23.0,17.0,6.5,0.3,2/2-MOOD PIE MESA BLANCO
44,33.0,25.0,4.5,1.5,FUNDA NORDICA ALGODON 150 MARTINA
45,7.0,7.0,27.0,0.16,PLANTA ARTIFICIAL LIMONERO 27CM
46,38.0,22.0,27.0,3.5,CENTRO PLANCHADO TAURUS SLIDING PERFECT 2800 LIMITADO AZUL B
47,16.0,8.0,26.0,0.7,CUBERTERIA SILVER BLACK 16 PIEZAS
48,16.0,8.0,26.0,0.7,CUBERTERIA SILVER BLACK 16 PIEZAS
49,12.0,10.0,21.0,0.5,LAMPARA SOBREMESA SOFT NORMAL E14 1 LUZ 6W 12X12X22 CM
50,23.0,17.0,6.5,0.3,2/2-MOOD PIE MESA BLANCO
51,16.0,8.0,26.0,0.7,CUBERTERIA SILVER BLACK 16 PIEZAS
52,33.0,25.0,4.5,1.5,FUNDA NORDICA ALGODON 150 MARTINA
53,12.0,10.0,21.0,0.5,LAMPARA SOBREMESA SOFT NORMAL E14 1 LUZ 6W 12X12X22 CM
54,32.0,16.0,32.0,3.0,CAFETERA DE CÁPSULAS DOLCE GUSTO KRUPS KP2431 GENIO BLANCA
